"User ID","Age","Gender","Height (cm)","Weight (kg)","Workout Type","Workout Duration (mins)","Calories Burned","Heart Rate (bpm)","Steps Taken","Distance (km)","Workout Intensity","Sleep Hours","Daily Calories Intake","Resting Heart Rate (bpm)","Mood Before Workout","Mood After Workout","Age Group"
9,37,"Other",182,113,"Running",25,226,123,9372,13.24,"Low",4.1,3760,53,"Tired","Neutral","Middle-aged"
16,34,"Female",196,107,"Cycling",18,191,87,10346,2.14,"Medium",9.3,3569,88,"Tired","Neutral","Middle-aged"
18,19,"Female",187,96,"HIIT",94,855,100,1056,11.73,"High",4.4,2943,80,"Happy","Energized","Young"
24,58,"Male",199,78,"Cycling",52,737,142,2065,4.74,"Medium",4.1,1664,89,"Stressed","Energized","Senior"
25,21,"Male",157,82,"HIIT",14,861,175,19656,11.47,"Medium",5.6,3693,51,"Tired","Fatigued","Young"
32,19,"Male",160,92,"Cardio",83,849,85,13746,0.64,"High",5,2499,75,"Happy","Energized","Young"
50,27,"Female",198,97,"Running",115,976,108,14812,13.48,"High",9.4,2834,83,"Neutral","Neutral","Young"
54,19,"Other",162,65,"Running",77,983,91,19207,3.67,"Medium",6.2,2904,86,"Neutral","Energized","Young"
57,32,"Male",195,115,"Cardio",12,155,142,17869,13.25,"Low",7.9,3528,64,"Neutral","Energized","Middle-aged"
76,31,"Male",151,110,"Cardio",40,748,109,5366,14.93,"Low",9.7,3977,59,"Happy","Energized","Middle-aged"
77,20,"Male",165,100,"Cycling",52,447,112,4614,2.91,"High",9.1,3871,51,"Happy","Fatigued","Young"
81,56,"Male",199,93,"HIIT",19,796,170,18317,13.36,"Low",4.5,1553,86,"Stressed","Neutral","Senior"
83,59,"Male",197,92,"HIIT",22,472,150,15125,14.26,"High",9.6,3453,87,"Stressed","Neutral","Senior"
89,19,"Male",181,118,"Running",29,927,99,5561,12.01,"Low",7.4,3750,70,"Happy","Neutral","Young"
90,19,"Male",172,75,"HIIT",80,756,90,19815,0.71,"Low",5.2,3648,76,"Happy","Fatigued","Young"
91,54,"Male",174,60,"Cardio",12,677,87,2312,12.03,"Medium",8.1,3738,77,"Happy","Neutral","Senior"
104,26,"Male",154,107,"Strength",26,473,97,2809,7.77,"Low",4.4,3888,50,"Happy","Neutral","Young"
106,54,"Male",171,106,"Yoga",90,205,140,4391,13.71,"High",7.6,1612,89,"Tired","Neutral","Senior"
113,52,"Other",199,52,"Yoga",98,280,90,17157,11.53,"High",4.5,3425,64,"Neutral","Neutral","Senior"
114,49,"Male",159,76,"Cardio",74,980,124,11222,12.18,"Low",6.4,1755,50,"Neutral","Fatigued","Middle-aged"
116,21,"Male",170,87,"Cardio",82,118,81,1615,2.68,"Medium",4.5,3320,56,"Neutral","Fatigued","Young"
137,59,"Female",176,67,"Cycling",16,359,161,4958,12.41,"High",9.7,1937,73,"Tired","Fatigued","Senior"
140,45,"Other",189,55,"Cycling",116,528,92,9949,13.74,"High",4.4,3560,83,"Neutral","Fatigued","Middle-aged"
142,56,"Male",150,108,"Cycling",52,432,178,4539,4.39,"Medium",9.9,3091,57,"Tired","Energized","Senior"
148,58,"Other",156,59,"Strength",47,195,179,5264,5.23,"High",9,1756,61,"Neutral","Fatigued","Senior"
149,59,"Male",195,79,"Cycling",77,543,120,3385,14.29,"Medium",9.4,1711,81,"Neutral","Neutral","Senior"
152,34,"Female",156,57,"Strength",36,464,95,5074,0.57,"Low",9.7,1763,89,"Happy","Fatigued","Middle-aged"
153,52,"Female",198,111,"Cycling",82,508,90,5978,14.44,"Medium",5.1,3708,60,"Neutral","Energized","Senior"
157,59,"Male",180,52,"HIIT",26,687,134,4452,4.83,"Medium",4.4,1708,73,"Stressed","Fatigued","Senior"
160,43,"Other",161,113,"Cycling",108,855,111,19882,11.43,"High",6.8,1541,56,"Neutral","Energized","Middle-aged"
161,20,"Female",174,56,"Strength",101,756,134,1529,8.97,"High",4.4,1631,89,"Happy","Neutral","Young"
162,50,"Male",176,69,"Running",13,155,179,19847,14.57,"High",6.2,2113,58,"Happy","Fatigued","Middle-aged"
166,25,"Male",171,57,"Yoga",111,472,80,9634,14.96,"Medium",4,2276,71,"Stressed","Fatigued","Young"
172,57,"Female",155,60,"Cardio",105,136,129,17887,1.67,"Low",5.7,2038,55,"Stressed","Neutral","Senior"
173,22,"Male",159,63,"HIIT",111,301,160,18212,5.51,"Low",8.9,1555,52,"Tired","Fatigued","Young"
192,20,"Female",165,54,"Yoga",32,901,123,3140,0.66,"High",8.4,3793,75,"Stressed","Neutral","Young"
195,25,"Male",152,112,"Cycling",11,876,159,2245,7.92,"Medium",4.9,3320,60,"Happy","Fatigued","Young"
204,25,"Other",187,115,"Yoga",97,693,171,8606,0.79,"Low",4.5,2501,60,"Neutral","Energized","Young"
206,42,"Male",151,112,"Running",39,929,147,18690,14.02,"Medium",7.1,3258,83,"Happy","Neutral","Middle-aged"
